model_varname,full_name,database,variable_code,dataset_id,var_col,freq,geo,unit,s_adj,nace_r2,ipcc_sector,cpa2_1,siec,p_adj,meat,age,citizen,wstatus,tra_oper
TOTS,Total Supply,NA,TOTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP,Gross domestic product at market prices,eurostat,B1GQ,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAdd,"Value added, gross",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA
Export,Exports of goods and services,eurostat,P6,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Import,Imports of goods and services,eurostat,P7,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCapitalForm,Gross capital formation,eurostat,P5G,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExp,Final consumption expenditure,eurostat,P3,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExpGov,Final consumption expenditure of general government,eurostat,P3_S13,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FinConsExpHH,Household and NPISH final consumption expenditure,eurostat,P31_S14_S15,namq_10_gdp,na_item,q,AT,CLV05_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StatDiscrep,Statistical discrepancy (expenditure approach),eurostat,YA0,namq_10_gdp,na_item,q,AT,CP_MEUR,SCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emissions,Greenhouse Gas Emissions (All NACE and HH),eurostat,GHG,env_ac_aigg_q,airpol,q,AT,THS_T,SCA,TOTAL_HH,NA,NA,NA,NA,NA,NA,NA,NA,NA
LabCostManuf,Manufacturing Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
DomDemand,Domestic Demand,NA,DomDemand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddManuf,"Value added, gross Manufacturing",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddGov,"Value added, gross Government",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,O-Q,NA,NA,NA,NA,NA,NA,NA,NA,NA
LabCostConstr,Construction Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
BuildingPermits,Building permits - m^2 useful floor area,eurostat,BPRM_SQM,sts_cobp_q,indic_bt,q,AT,I15,SCA,F_CC1,NA,CPA_F41001_41002,NA,NA,NA,NA,NA,NA,NA
LabCostService,Service Labour cost index - Total Labour Cost,eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,SCA,G-N,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddConstr,"Value added, gross Construction",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddAgri,"Value added, gross Agriculture",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddIndus,"Value added, gross Industry",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,B-E,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddInfocom,"Value added, gross Information and Communication",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,J,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddFinance,"Value added, gross Financial Services",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,K,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddRealest,"Value added, gross Real Estate",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddResearch,"Value added, gross Scientific and Professional Services",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,M_N,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddArts,"Value added, gross Arts and Entertainment",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,R-U,NA,NA,NA,NA,NA,NA,NA,NA,NA
GValueAddWholesaletrade,"Value added, gross Wholesale and retail trade and Tourism",eurostat,B1G,namq_10_a10,na_item,q,AT,CLV05_MEUR,SCA,G-I,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP,"Harmonised Index of Consumer Prices, all items, index 100 = 2015",eurostat,CP00,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Energy,"Harmonised Index of Consumer Prices, Energy, index 100 = 2015",eurostat,NRG,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Electricity,"Harmonised Index of Consumer Prices, Electricity, index 100 = 2015",eurostat,CP0451,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Gas,"Harmonised Index of Consumer Prices, Gas, index 100 = 2015",eurostat,CP0452,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Liquid_Fuels,"Harmonised Index of Consumer Prices, Liquid Fuels, index 100 = 2015",eurostat,CP0453,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Solid_Fuels,"Harmonised Index of Consumer Prices, Solid Fuels, index 100 = 2015",eurostat,CP0454,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Heat,"Harmonised Index of Consumer Prices, Heat Energy, index 100 = 2015",eurostat,CP0455,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HDD,Heating Degree Days,eurostat,HDD,nrg_chdd_m,indic_nrg,m,AT,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDD,Cooling Degree Days,eurostat,CDD,nrg_chdd_m,indic_nrg,m,AT,NR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EmiCH4Livestock,Methane Emissions from Livestock,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/EDGAR_CH4_m_1970_2022.zip,NA,m,AT,NA,NA,NA,3.A,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Industry,Carbon Emissions from Industrial Processes and Product Use,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022.zip,NA,m,AT,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Combustion,Carbon Emissions from Fuel Combustion Activities,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022.zip,NA,m,AT,NA,NA,NA,1.A,NA,NA,NA,NA,NA,NA,NA,NA
EmiN2OTotal,Nitrous Oxide Emissions Total,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/EDGAR_N2O_m_1970_2022.zip,NA,m,AT,NA,NA,NA,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA
MetalProd,Index of Manufacture of basic metals and fabricated metal products,eurostat,PROD,sts_inpr_q,indic_bt,q,NA,I15,NSA,C24_C25,NA,NA,NA,NA,NA,NA,NA,NA,NA
IndProd,An index of Industrial Production,eurostat,PRD,sts_inpr_q,indic_bt,q,AT,I15,NSA,B-D,NA,NA,NA,NA,NA,NA,NA,NA,NA
PlasticProd,Index of Plastic Production,eurostat,PROD,sts_inpr_q,indic_bt,q,NA,I15,NSA,C222,NA,NA,NA,NA,NA,NA,NA,NA,NA
EmiN2OSoils,Direct N2O Emissions from managed soils,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/EDGAR_N2O_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,3.C.4,NA,NA,NA,NA,NA,NA,NA,NA
Price_AgriProducts,"Price indices of agricultural products, output",eurostat,140000,apri_pi20_outq,product,q,AT,I20,NSA,B-D,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price_AnimalProducts,Price indices of agricultural products - Agricultural goods output,eurostat,140000,apri_pi15_outq,product,q,AT,I15,NA,NA,NA,NA,NA,NI,NA,NA,NA,NA,NA
EmiN2OManure_indirect,Indirect N2O Emissions from manure management,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/EDGAR_N2O_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,3.C.6,NA,NA,NA,NA,NA,NA,NA,NA
Flights,National air passenger transport by reporting country,eurostat,CAF_PAS,avia_panc,tra_meas,m,AT,FLIGHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ConstructionManuf,Production in Construction in Manufacturing Sectors,eurostat,PRD,sts_copr_m,indic_bt,m,AT,I21,NSA,B-D_F,NA,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Aviation,CO2 (fossil) emissions from Civil Aviation,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,1.A.3.a,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Road,CO2 emissions from Road Transport,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,1.A.3.b_noRES,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Manuf,CO2 (fossil) emissions from Manufacturing Industries and Construction,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,1.A.2,NA,NA,NA,NA,NA,NA,NA,NA
EmiCO2Residential,CO2 (fossil) emissions from Residential and other sectors,edgar,NA,https://jeodpp.jrc.ec.europa.eu/ftp/jrc-opendata/EDGAR/datasets/v80_FT2022_GHG/IEA_EDGAR_CO2_m_1970_2022b.zip,NA,m,AT,NA,NA,NA,1.A.4,NA,NA,NA,NA,NA,NA,NA,NA
ConstructionBuildings,Production in Construction in the Building sector,eurostat,PROD,sts_copr_m,indic_bt,m,AT,I21,NSA,F41,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lab_Inp_Constr,Labour input in construction,eurostat,EMPL,sts_colb_m,indic_bt,m,AT,I21,NSA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lab_Inp_Indus,Labour input in industry,eurostat,EMPL,sts_inlb_m,indic_bt,m,AT,I21,NSA,B-E36,NA,NA,NA,NA,NA,NA,NA,NA,NA
ElectrCons,Consumption of electricity - GWh,eurostat,IS-CEL-GWH,ei_isen_m,indic,m,AT,NA,NSA,B-D,NA,NA,NA,NA,NA,NA,NA,NA,NA
AnimalImports,Total imports of live animals,eurostat,SL,apro_mt_pheadm,meatitem,m,AT,THS_T,NSA,B-D,NA,NA,NA,NA,B1000,NA,NA,NA,NA
TurnoverInd,"Turnover in industry, domestic market - monthly data",eurostat,TOVD,sts_intvd_m,indic_bt,m,AT,I21,NSA,B_C,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPI,Output prices of the domestic market index (Producer price index) (NSA),eurostat,IS-PPI,ei_isir_m,indic,m,AT,RT1,NSA,B-E36,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unemp,Unemployment,eurostat,T,lfsq_urgan,sex,q,AT,PC,NSA,NA,NA,NA,NA,NA,NA,Y20-64,TOTAL,NA,NA
PT_Emp,Part-time employment and temporary contracts,eurostat,T,lfsi_pt_q,sex,q,AT,PC_EMP,NSA, ,NA,NA,NA,NA,NA,Y20-64,NA,EMP_PT,NA
EmpCompensation,Compensation of employees,eurostat,D1,tipslm14,na_item,q,AT,CP_MNAC,NSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ExchangeRate,Nominal effective exchange rate - 42 trading partners (industrial countries),eurostat,NEER_IC42,ert_eff_ic_q,exch_rt,q,AT,I15,NSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP_Deflator,GDP deflator,eurostat,B1GQ,namq_10_gdp,na_item,q,AT,PD10_EUR,NSA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LabCost_ICS,"labour cost index in Industry, construction and services ",eurostat,LM-LCI-TOT,ei_lmlc_q,indic,q,AT,I20,NSA,B-S,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Diesel,Harmonised Price Index for Diesel,eurostat,CP07221,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_Petrol,Harmonised Price Index for Petrol,eurostat,CP07222,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_FlightsDom,Harmonised Price Index for Domestic flights,eurostat,CP07331,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HICP_AviaInt,Harmonised Price Index for International flights,eurostat,CP07332,prc_hicp_midx,coicop,m,AT,I15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoadFreight,Road freight transport,eurostat,TOTAL,road_go_tq_tott,tra_type,q,AT,MIO_TKM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOTAL
Slaughter,Slaughterings,eurostat,SL,apro_mt_pwgtm,meatitem,m,AT,THS_T,NA,NA,NA,NA,NA,NA,B1000,NA,NA,NA,NA
