Date,MSCI World
12/1978,10000
01/1979,10398.930905250509
02/1979,10248.849017195265
03/1979,10675.226277917642
04/1979,10778.50358279821
05/1979,10708.880944697637
06/1979,10889.84575852203
07/1979,10578.590506604152
08/1979,11036.524853554603
09/1979,11162.378098026924
10/1979,10376.16510293369
11/1979,10651.72398360166
12/1979,10690.898083358963
01/1980,11222.644152383618
02/1980,11331.976524858843
03/1980,10648.959921826556
04/1980,11481.555130843206
05/1980,11524.620863031954
06/1980,11899.479614256963
07/1980,12112.443054965368
08/1980,12593.610215946585
09/1980,12940.50819136116
10/1980,13651.988424485868
11/1980,14720.80969969001
12/1980,14852.777656733124
01/1981,14463.167712691038
02/1981,15492.392711318944
03/1981,16052.980807362164
04/1981,16486.545396880545
05/1981,17151.11818447906
06/1981,17776.102685456586
07/1981,18007.194521247326
08/1981,18130.394515906635
09/1981,16005.212422046532
10/1981,16005.92215478959
11/1981,17009.80602398687
12/1981,16876.439053870592
01/1982,16881.135392354838
02/1982,16385.868405302343
03/1982,16227.944726131596
04/1982,17285.722889362583
05/1982,16273.17833573479
06/1982,16438.284350643284
07/1982,16573.143717930932
08/1982,17882.283764432374
09/1982,18131.556845189443
10/1982,19604.697884395795
11/1982,20986.4713664931
12/1982,21023.74673104958
01/1983,21318.754321023876
02/1983,22163.51841819067
03/1983,23056.57870135659
04/1983,25056.054263461087
05/1983,24962.871570881693
06/1983,26533.105652752358
07/1983,26410.84284460705
08/1983,27411.097731117166
09/1983,27981.25780028119
10/1983,27194.328512790005
11/1983,28639.75622804067
12/1983,29738.385513379875
01/1984,30654.85931613871
02/1984,29221.455242028762
03/1984,29503.60589201104
04/1984,29913.11483894515
05/1984,28694.774730638917
06/1984,28934.331593727657
07/1984,28967.16865512922
08/1984,32229.765663017726
09/1984,33621.36624044726
10/1984,34594.62624265953
11/1984,33559.79206469479
12/1984,35609.46600893423
01/1985,38486.3587230083
02/1985,39993.182541852475
03/1985,41469.22422550362
04/1985,38489.090820548394
05/1985,40743.73145553946
06/1985,40742.04246084016
07/1985,39548.87472097862
08/1985,38498.9529361696
09/1985,39409.12599100308
10/1985,38972.698766852656
11/1985,40349.80151346892
12/1985,41237.076489579886
01/1986,40978.07138919158
02/1986,42907.85004137818
03/1986,45797.31497619826
04/1986,47298.08927667742
05/1986,46334.346426348624
06/1986,48381.8912958277
07/1986,47335.68457116948
08/1986,49922.31551687075
09/1986,47558.040732892434
10/1986,46216.703726404754
11/1986,48660.15998817887
12/1986,48918.98842075373
01/1987,51380.59265631077
02/1987,52132.908088075965
03/1987,55265.51344098956
04/1987,57738.690406181646
05/1987,57113.993754648596
06/1987,58098.78560738437
07/1987,60110.697558145344
08/1987,64152.31021935193
09/1987,61386.36991470059
10/1987,50587.01719849433
11/1987,46366.267919942205
12/1987,46897.08825092531
01/1988,48537.91486111503
02/1988,52830.337489364014
03/1988,53678.8922827356
04/1988,54021.874909011836
05/1988,53453.569837154544
06/1988,55352.12630107665
07/1988,59223.211243419464
08/1988,57212.20877076618
09/1988,59193.67146169965
10/1988,61559.61652450748
11/1988,61167.29304238174
12/1988,61772.09104022392
01/1989,66530.23651002873
02/1989,66917.44002020075
03/1989,66917.03851528569
04/1989,68825.34672955025
05/1989,70004.83492356459
06/1989,70445.63352546077
07/1989,74970.4207865175
08/1989,74270.95275118499
09/1989,77521.37812350164
10/1989,72097.89512547171
11/1989,73885.3454107418
12/1989,73105.46300158801
01/1990,67633.18425111714
02/1990,63859.5785151099
03/1990,61036.85056307657
04/1990,59369.44607056526
05/1990,64532.839630378774
06/1990,64488.22911444809
07/1990,63093.46313607065
08/1990,54653.87627339092
09/1990,48953.84082920841
10/1990,51937.2877574192
11/1990,50056.308445569186
12/1990,51690.661555202656
01/1991,53696.03839975514
02/1991,57673.206652070745
03/1991,60905.15711383389
04/1991,64633.60909897523
05/1991,66962.4109913219
06/1991,65151.126504692795
07/1991,68295.93781870553
08/1991,66560.46510562068
09/1991,66401.3431823617
10/1991,67368.85198393356
11/1991,62003.58083032291
12/1991,64385.65318801702
01/1992,63619.82764051358
02/1992,63883.08438209057
03/1992,62480.97344079284
04/1992,62760.410692048805
05/1992,63989.90289721302
06/1992,60057.13906322283
07/1992,57327.541184017624
08/1992,57222.521052475684
09/1992,57988.96907079799
10/1992,58745.71348590757
11/1992,63694.45082345413
12/1992,64147.674907806024
01/1993,65599.61932989054
02/1993,68806.64596649997
03/1993,73133.88249791604
04/1993,73900.18254079277
05/1993,75770.08643780077
06/1993,77307.02050765016
07/1993,82225.0945110299
08/1993,86630.80170810358
09/1993,81629.71661846779
10/1993,84843.95986388587
11/1993,82173.80111756884
12/1993,86136.48090141875
01/1994,93042.30076492437
02/1994,91464.5108432438
03/1994,85691.7686082059
04/1994,88576.7385285946
05/1994,86876.3617709675
06/1994,85208.77017769284
07/1994,84133.74721971164
08/1994,86747.8287619667
09/1994,83544.41871571058
10/1994,84259.97079491657
11/1994,81785.1990511987
12/1994,84246.46810984582
01/1995,81266.12337183832
02/1995,81528.84341969769
03/1995,82118.7708814733
04/1995,83336.13589165211
05/1995,85328.47281298498
06/1995,84571.50239243411
07/1995,87752.24032544371
08/1995,88375.50408205789
09/1995,92097.03443530513
10/1995,89217.37093241034
11/1995,92495.14614665232
12/1995,96687.24930833215
01/1996,99611.20517696098
02/1996,100773.132381904
03/1996,102363.81708397645
04/1996,105642.96432969705
05/1996,106995.48450504799
06/1996,106681.28624976898
07/1996,101326.26425399986
08/1996,101540.89491783835
09/1996,106409.88365052523
10/1996,107464.91084963172
11/1996,112009.60295487124
12/1996,112633.65152876382
01/1997,117069.82555107115
02/1997,123552.63828839757
03/1997,122491.17455064926
04/1997,127159.80947713036
05/1997,134572.05451778104
06/1997,142847.83689100642
07/1997,153560.5123052454
08/1997,147350.23775778493
09/1997,151256.6138390343
10/1997,140670.86794401563
11/1997,140190.5015893399
12/1997,145703.51622969736
01/1998,153183.99090702526
02/1998,163160.93670644032
03/1998,170652.24659611567
04/1998,171127.45656904115
05/1998,166383.9192603877
06/1998,171544.17313623577
07/1998,171648.62106685134
08/1998,148126.53873703408
09/1998,143689.37233193914
10/1998,150867.18500687953
11/1998,164439.9040039111
12/1998,171348.44221891378
01/1999,180796.55679470647
02/1999,181806.6064864919
03/1999,194214.83370828498
04/1999,204605.64254084107
05/1999,199759.49364811045
06/1999,211639.39614297912
07/1999,203755.3449302743
08/1999,205692.81389361137
09/1999,201913.42143311736
10/1999,216688.52871432208
11/1999,230610.35476050669
12/1999,250512.99418231126
01/2000,242288.2800773727
02/2000,244838.15944074243
03/2000,266141.69568614085
04/2000,267986.7222498553
05/2000,255050.10827660756
06/2000,256627.43990774656
07/2000,257817.0081875022
08/2000,276243.3113592198
09/2000,265729.3168800189
10/2000,272045.5854659542
11/2000,247639.25543011984
12/2000,234819.99849870172
01/2001,239650.89705787727
02/2001,220438.45204394546
03/2001,215621.61521839644
04/2001,230368.32081145386
05/2001,237984.00999649244
06/2001,230494.19397394796
07/2001,220270.13823347213
08/2001,200438.54740649572
09/2001,183290.37078367945
10/2001,188628.8805784944
11/2001,202992.3216175121
12/2001,206217.79621333536
01/2002,204023.7910288262
02/2002,201902.08766946686
03/2002,209031.99110487197
04/2002,195560.78373383282
05/2002,187977.92151641383
06/2002,166133.49618426026
07/2002,155100.92639628492
08/2002,154575.76544394187
09/2002,137180.24601685806
10/2002,147228.5159221501
11/2002,154159.50777591695
12/2002,138837.42258378377
01/2003,130512.02798075438
02/2003,128632.22827951952
03/2003,126877.89942167643
04/2003,135193.15131186057
05/2003,134538.24963147243
06/2003,141580.25720835966
07/2003,145829.8071008977
08/2003,154292.8704787041
09/2003,145563.41564566983
10/2003,154584.9047950395
11/2003,152054.36205555347
12/2003,153445.46800453623
01/2004,159004.63811456438
02/2004,161224.57529357894
03/2004,162696.47419695088
04/2004,163059.18826933578
05/2004,161158.95909201252
06/2004,165049.18716034506
07/2004,161198.73073141734
08/2004,160944.69461268224
09/2004,160051.19636439072
10/2004,159745.26147159206
11/2004,161080.06216990584
12/2004,163226.59221661455
01/2005,166724.43460941807
02/2005,169125.54604054993
03/2005,169590.7912398462
04/2005,165985.15817405828
05/2005,177510.46337936883
06/2005,182585.29855443374
07/2005,188947.67694748845
08/2005,188732.71971307648
09/2005,196143.27275536233
10/2005,191687.066451716
11/2005,202348.84286781892
12/2005,206340.89233732974
01/2006,209844.7516178599
02/2006,213820.04232276426
03/2006,214387.43005597586
04/2006,213267.13908941075
05/2006,200683.72658873344
06/2006,203070.95526149153
07/2006,203474.00851319218
08/2006,207391.08851789075
09/2006,213030.14670468692
10/2006,220222.71159759248
11/2006,217001.14334248385
12/2006,221917.35707023778
01/2007,228281.1595796261
02/2007,222675.51970863878
03/2007,224929.89195155498
04/2007,229895.50613904087
05/2007,239007.35457794403
06/2007,236250.6324641869
07/2007,227613.98401736736
08/2007,227474.54202017738
09/2007,230326.10843651288
10/2007,232986.8598496981
11/2007,218709.7902575639
12/2007,216474.7392212931
01/2008,197928.522288562
02/2008,192929.54215943883
03/2008,183285.78465006943
04/2008,196295.5840930236
05/2008,199699.986475483
06/2008,180788.14015367982
07/2008,178099.26392086272
08/2008,186036.88089184446
09/2008,168860.6874779441
10/2008,153428.49461673643
11/2008,143835.52119359814
12/2008,135756.74134553608
01/2009,134504.58639078785
02/2009,122379.23275141061
03/2009,125041.15590260185
04/2009,139413.89690350948
05/2009,143169.6467256547
06/2009,142160.73322388367
07/2009,154157.68848690137
08/2009,159010.34673271034
09/2009,161158.92398061132
10/2009,156612.55217144376
11/2009,160592.44059568894
12/2009,170477.80059489416
01/2010,168580.70975258332
02/2010,175946.02834225824
03/2010,188103.8675760578
04/2010,190447.44751449462
05/2010,186309.2059319428
06/2010,180449.209517727
07/2010,183743.59898204062
08/2010,181738.04445474027
09/2010,184592.4370936894
10/2010,188585.3067414826
11/2010,196707.82303860164
12/2010,205418.23596693212
01/2011,204996.22919058462
02/2011,209995.8648289401
03/2011,202465.93818640747
04/2011,201792.1725267382
05/2011,204130.98042676295
06/2011,199956.46206858254
07/2011,198988.01814440382
08/2011,182535.78883432344
09/2011,178466.08010134273
10/2011,189921.604537392
11/2011,193334.99702988504
12/2011,200380.83425008014
01/2012,206651.39559076686
02/2012,212441.11352361256
03/2012,216573.9656298778
04/2012,216415.4799241033
05/2012,210662.9377993188
06/2012,218108.91748474474
07/2012,226415.8451453313
08/2012,226136.1378488754
09/2012,226616.5383712506
10/2012,223993.7774108795
11/2012,226984.28095770988
12/2012,227607.36330765035
01/2013,232917.00015213856
02/2013,240782.74164303517
03/2013,252657.82531872016
04/2013,255291.1007665033
05/2013,256683.50795584416
06/2013,248942.30855304707
07/2013,258198.79338420441
08/2013,253466.796924856
09/2013,260822.4428473896
10/2013,268329.77131514327
11/2013,273700.34603190416
12/2013,275843.8285916278
01/2014,271031.5379847727
02/2014,278480.3452700548
03/2014,279389.03428945533
04/2014,280988.38612698956
05/2014,291633.55147304013
06/2014,295742.1402166764
07/2014,297091.1886236088
08/2014,308035.1752794275
09/2014,314083.3655218422
10/2014,317604.3742209276
11/2014,325033.47795628244
12/2014,328800.51832220104
01/2015,346716.8438486681
02/2015,369153.0207180961
03/2015,379619.79077753314
04/2015,372725.55846324
05/2015,382362.51981621265
06/2015,366161.8219623446
07/2015,380279.52341622126
08/2015,347261.9628898927
09/2015,334811.61987012916
10/2015,367444.0919357211
11/2015,380753.3028311568
12/2015,363478.2643024697
01/2016,340700.71174003126
02/2016,339158.94570260134
03/2016,346363.5859666254
04/2016,351288.92036680126
05/2016,361148.07866792823
06/2016,358773.9176487272
07/2016,373561.4143701499
08/2016,373233.7553825198
09/2016,374241.42262952926
10/2016,374207.28087554907
11/2016,390688.36822607514
12/2016,403604.24512705766
01/2017,405120.6495537613
02/2017,422568.0058265258
03/2017,423314.19588194246
04/2017,420188.69421122666
05/2017,417950.07852489385
06/2017,412536.0864162126
07/2017,411062.7127959523
08/2017,408230.04971971683
09/2017,418064.20015282405
10/2017,432113.9841518363
11/2017,433615.27511633723
12/2017,434202.4777412793
01/2018,440101.2178965249
02/2018,430262.1464833315
03/2018,417228.8644593668
04/2018,430478.4048628936
05/2018,447246.1646248766
06/2018,448604.95825159445
07/2018,459541.8254727306
08/2018,468621.7621348341
09/2018,474284.180484492
10/2018,449476.23442627396
11/2018,452941.4068593441
12/2018,415174.55792518426
01/2019,445997.4201774572
02/2019,462305.9594939658
03/2019,475923.8434171276
04/2019,493546.57369094866
05/2019,467862.8165261699
06/2019,488657.37123599893
07/2019,501162.7662374294
08/2019,496027.2187867925
09/2019,513422.0061230561
10/2019,513978.8229862183
11/2019,536567.3940731816
12/2019,540245.1776247153
01/2020,545799.2645173206
02/2020,503079.3821788027
03/2020,437337.16734981013
04/2020,488682.04136553156
05/2020,500328.6294323941
06/2020,510719.3856089005
07/2020,505793.5817970517
08/2020,535430.1946260751
09/2020,527202.1107953145
10/2020,511467.02193003474
11/2020,563285.0712466314
12/2020,573242.1670965339
01/2021,573858.2691392895
02/2021,589291.3543261647
03/2021,629463.2180545023
04/2021,639293.4715252456
05/2021,642177.7502744969
06/2021,669134.3749599874
07/2021,680719.548343914
08/2021,701021.9054239772
09/2021,686712.4158920497
10/2021,721495.6823644936
11/2021,723198.844838573
12/2021,756571.9801449956
01/2022,727460.0848749744
02/2022,706339.1613572572
03/2022,732130.2464883362
04/2022,707040.6844588212
05/2022,696149.8277558046
06/2022,655804.2932234461
07/2022,720991.7586758115
08/2022,704527.4437804917
09/2022,655554.6788803298
10/2022,690867.0682405854
11/2022,706003.0916860258
12/2022,657640.5600279866
01/2023,693317.2073211351
02/2023,690287.1415167826
03/2023,694865.1891246431
04/2023,700220.6730653651
05/2023,712567.5961556862
06/2023,742935.598895187
07/2023,756955.8338300635
08/2023,749413.2711877194
09/2023,735631.2369086111
10/2023,712604.6794219364
11/2023,757166.3427930666
12/2023,785784.4342333137
01/2024,810844.0442109375
02/2024,846080.7267240374
03/2024,874481.0394525726
04/2024,849304.6831396248
05/2024,876272.4418082598
06/2024,906380.4276370538
07/2024,911875.6486115364
08/2024,914111.8851203562
09/2024,921790.4328540992
10/2024,929575.6308922447
11/2024,1001686.631880757